reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/06/13 11:30:10.5209,5,1.0,63.0
0.001,2024/06/13 11:30:10.5209,4,0.0,0.0
0.001,2024/06/13 11:30:10.5209,3,1.0,64.0
0.001,2024/06/13 11:30:10.5209,2,0.0,0.0
0.001,2024/06/13 11:30:10.5209,1,0.0,0.0
0.001,2024/06/13 11:30:10.5209,0,0.0,0.0
0.433,2024/06/13 11:30:10.9529,3,1.0,64.0
0.474,2024/06/13 11:30:10.9939,5,1.0,63.0
0.926,2024/06/13 11:30:11.4459,3,1.0,64.0
0.967,2024/06/13 11:30:11.4869,5,1.0,63.0
1.213,2024/06/13 11:30:11.7329,5,1.0,63.0
1.419,2024/06/13 11:30:11.9389,3,1.0,65.0
1.46,2024/06/13 11:30:11.9799,5,1.0,63.0
1.911,2024/06/13 11:30:12.4309,3,1.0,65.0
1.951,2024/06/13 11:30:12.4709,5,1.0,63.0
2.158,2024/06/13 11:30:12.6779,3,1.0,65.0
2.198,2024/06/13 11:30:12.7179,5,1.0,63.0
2.404,2024/06/13 11:30:12.9239,3,1.0,65.0
2.444,2024/06/13 11:30:12.9639,5,1.0,63.0
2.65,2024/06/13 11:30:13.1699,3,1.0,65.0
2.69,2024/06/13 11:30:13.2099,5,1.0,63.0
2.897,2024/06/13 11:30:13.4169,3,1.0,65.0
2.937,2024/06/13 11:30:13.4569,5,1.0,63.0
3.142,2024/06/13 11:30:13.6619,3,1.0,65.0
3.183,2024/06/13 11:30:13.7029,5,1.0,63.0
3.389,2024/06/13 11:30:13.9089,3,1.0,65.0
3.43,2024/06/13 11:30:13.9499,5,1.0,63.0
3.635,2024/06/13 11:30:14.1549,3,1.0,65.0
3.881,2024/06/13 11:30:14.4009,3,1.0,65.0
3.922,2024/06/13 11:30:14.4419,5,1.0,63.0
4.128,2024/06/13 11:30:14.6479,3,1.0,65.0
4.168,2024/06/13 11:30:14.6879,5,1.0,63.0
4.374,2024/06/13 11:30:14.8939,3,1.0,65.0
4.414,2024/06/13 11:30:14.9339,5,1.0,63.0
4.62,2024/06/13 11:30:15.1399,3,1.0,65.0
4.866,2024/06/13 11:30:15.3859,3,1.0,65.0
4.907,2024/06/13 11:30:15.4269,5,1.0,63.0
5.113,2024/06/13 11:30:15.6329,3,1.0,65.0
5.154,2024/06/13 11:30:15.6739,5,1.0,63.0
5.359,2024/06/13 11:30:15.8789,3,1.0,65.0
5.4,2024/06/13 11:30:15.9199,5,1.0,63.0
5.605,2024/06/13 11:30:16.1249,3,1.0,66.0
5.647,2024/06/13 11:30:16.1669,5,1.0,63.0
5.852,2024/06/13 11:30:16.3719,3,1.0,66.0
5.893,2024/06/13 11:30:16.4129,5,1.0,63.0
6.099,2024/06/13 11:30:16.6189,3,1.0,66.0
6.138,2024/06/13 11:30:16.6579,5,1.0,63.0
6.345,2024/06/13 11:30:16.8649,3,1.0,66.0
6.384,2024/06/13 11:30:16.9039,5,1.0,64.0
6.591,2024/06/13 11:30:17.1109,3,1.0,66.0
6.631,2024/06/13 11:30:17.1509,5,1.0,64.0
6.877,2024/06/13 11:30:17.3969,5,1.0,64.0
7.083,2024/06/13 11:30:17.6029,3,1.0,66.0
7.37,2024/06/13 11:30:17.8899,5,1.0,64.0
7.576,2024/06/13 11:30:18.0959,3,1.0,66.0
7.822,2024/06/13 11:30:18.3419,3,1.0,66.0
7.862,2024/06/13 11:30:18.3819,5,1.0,64.0
8.315,2024/06/13 11:30:18.8349,3,1.0,66.0
8.355,2024/06/13 11:30:18.8749,5,1.0,64.0
8.806,2024/06/13 11:30:19.3259,3,1.0,66.0
8.847,2024/06/13 11:30:19.3669,5,1.0,64.0
9.299,2024/06/13 11:30:19.8189,3,1.0,67.0
9.34,2024/06/13 11:30:19.8599,5,1.0,65.0
9.587,2024/06/13 11:30:20.1069,5,1.0,65.0
9.792,2024/06/13 11:30:20.3119,3,1.0,67.0
9.833,2024/06/13 11:30:20.3529,5,1.0,65.0
10.079,2024/06/13 11:30:20.5989,5,1.0,65.0
10.285,2024/06/13 11:30:20.8049,3,1.0,67.0
10.531,2024/06/13 11:30:21.0509,3,1.0,67.0
10.572,2024/06/13 11:30:21.0919,5,1.0,66.0
10.777,2024/06/13 11:30:21.2969,3,1.0,66.0
11.024,2024/06/13 11:30:21.5439,3,1.0,66.0
11.064,2024/06/13 11:30:21.5839,5,1.0,66.0
11.516,2024/06/13 11:30:22.0359,3,1.0,66.0
11.557,2024/06/13 11:30:22.0769,5,1.0,66.0
12.009,2024/06/13 11:30:22.5289,3,1.0,66.0
12.049,2024/06/13 11:30:22.5689,5,1.0,66.0
12.501,2024/06/13 11:30:23.0209,3,1.0,67.0
12.542,2024/06/13 11:30:23.0619,5,1.0,66.0
12.788,2024/06/13 11:30:23.3079,5,1.0,66.0
13.034,2024/06/13 11:30:23.5539,5,1.0,66.0
13.486,2024/06/13 11:30:24.0059,3,1.0,68.0
13.733,2024/06/13 11:30:24.2529,3,1.0,68.0
13.772,2024/06/13 11:30:24.2919,5,1.0,66.0
13.979,2024/06/13 11:30:24.4989,3,1.0,69.0
14.225,2024/06/13 11:30:24.7449,3,1.0,69.0
14.265,2024/06/13 11:30:24.7849,5,1.0,66.0
