reltime,datetime,iSensor,ibi
0.001,2024/06/13 11:30:10.5209,5,952
0.001,2024/06/13 11:30:10.5209,4,0
0.001,2024/06/13 11:30:10.5209,3,876
0.001,2024/06/13 11:30:10.5209,2,0
0.001,2024/06/13 11:30:10.5209,1,0
0.001,2024/06/13 11:30:10.5209,0,0
0.433,2024/06/13 11:30:10.9529,3,941
1.213,2024/06/13 11:30:11.7329,5,952
1.419,2024/06/13 11:30:11.9389,3,902
1.46,2024/06/13 11:30:11.9799,5,952
2.158,2024/06/13 11:30:12.6779,3,850
2.198,2024/06/13 11:30:12.7179,5,952
2.444,2024/06/13 11:30:12.9639,5,952
2.69,2024/06/13 11:30:13.2099,5,952
2.897,2024/06/13 11:30:13.4169,3,938
2.937,2024/06/13 11:30:13.4569,5,951
3.183,2024/06/13 11:30:13.7029,5,952
3.43,2024/06/13 11:30:13.9499,5,952
3.881,2024/06/13 11:30:14.4009,3,896
4.168,2024/06/13 11:30:14.6879,5,952
4.414,2024/06/13 11:30:14.9339,5,952
4.62,2024/06/13 11:30:15.1399,3,841
5.154,2024/06/13 11:30:15.6739,5,952
5.4,2024/06/13 11:30:15.9199,5,952
5.605,2024/06/13 11:30:16.1249,3,909
5.647,2024/06/13 11:30:16.1669,5,952
5.893,2024/06/13 11:30:16.4129,5,952
6.138,2024/06/13 11:30:16.6579,5,952
6.345,2024/06/13 11:30:16.8649,3,904
6.384,2024/06/13 11:30:16.9039,5,938
6.631,2024/06/13 11:30:17.1509,5,938
6.877,2024/06/13 11:30:17.3969,5,938
7.576,2024/06/13 11:30:18.0959,3,826
8.315,2024/06/13 11:30:18.8349,3,913
9.299,2024/06/13 11:30:19.8189,3,907
9.587,2024/06/13 11:30:20.1069,5,923
9.833,2024/06/13 11:30:20.3529,5,923
10.079,2024/06/13 11:30:20.5989,5,923
10.285,2024/06/13 11:30:20.8049,3,979
10.777,2024/06/13 11:30:21.2969,3,862
11.516,2024/06/13 11:30:22.0359,3,790
12.501,2024/06/13 11:30:23.0209,3,748
12.788,2024/06/13 11:30:23.3079,5,908
13.034,2024/06/13 11:30:23.5539,5,908
13.486,2024/06/13 11:30:24.0059,3,771
13.979,2024/06/13 11:30:24.4989,3,808
15.21,2024/06/13 11:30:25.7299,3,781
15.99,2024/06/13 11:30:26.5099,5,908
16.195,2024/06/13 11:30:26.7149,3,888
16.236,2024/06/13 11:30:26.7559,5,908
16.482,2024/06/13 11:30:27.0019,5,908
17.18,2024/06/13 11:30:27.6999,3,975
17.919,2024/06/13 11:30:28.4389,3,918
18.904,2024/06/13 11:30:29.4239,3,983
19.19,2024/06/13 11:30:29.7099,5,908
19.438,2024/06/13 11:30:29.9579,5,869
19.683,2024/06/13 11:30:30.2029,5,869
19.89,2024/06/13 11:30:30.4099,3,1001
20.874,2024/06/13 11:30:31.3939,3,935
21.613,2024/06/13 11:30:32.1329,3,1000
22.598,2024/06/13 11:30:33.1179,3,971
22.639,2024/06/13 11:30:33.1589,5,821
22.885,2024/06/13 11:30:33.4049,5,821
